   ID6,1789,Cent is the only coinage the Americans have of their won. No less than 300 ton of them were contracted for by Congress in the year 1787 to be coined at the rate of 50 ton per annum ; the contracters were also bound down to make them all of the famous Jersey copper. They are a little larger than the British halfpence. No British copper no passes in the United States;–silver and gold coins of all nations however pass cur rent. The congress have not yet ordered a silver coinage. 
   ID9,1789,Curious Anecdote.–A few days ago a stranger waited on Mr. Sibbly Treasurer of the East India Company and desired to speak to him in private ; when the were retired the stranger said to Mr. Sibbly I am lately returned from India I have smuggled goods to the amount of about 120l. What duty have I to pay upon them? Mr. Sibbly smiled and told him That he could receive no such money without the Chairman's permission. Pray then (said the stranger) speak to him of it as soon as possible. I am resolved to pay whatever the duty is. The Company pays for the exclusive privilege of bringing India goods to Europe; the man that deprives them of any part of the advantages they hope to reap from it cannot in my opinion look upon himself as a strictly honest man. Since the stranger waited on Mr. Sibbly the Chairman had not had time to give him an answer ; the stranger notwithstanding gave him a letter including a Bank note of 30l. The sum Mr. Sibbly told him he should pay if he paid any thing. 
   ID41,1789,Living out of the World To the PRINTER. Sir ABOUT two month ago I went to the country to pay a visit to a friend in a remote county; and though I am much of what may be called a newspaper man I never thought of ordering my papers to be sent down to me. To my utter astonishment my rustic landlord did not take in own newspaper; so there was I stuck down with my friend in the country–knowing no more of what passed in town than if I had been in Lapland. Intending every day should be my last I went on without ordering your or any other paper till two months had passed away at which period I returned to town. And there Sir I was quite a new man and just as if I had dropped down from the clouds. Every day I heard people talking of occurrences of which I knew nothing : Revolutions in France by Fishwomen ; and battles in Flanders against the Emperor who I thought was fighting against the Turks. But even this was not the most distressing–for one day meeting a friend I inquired very cordially after his wife who I found a few days afterwards had eloped just before with another gentleman ; and meeting with a lady I inquired kindly for her sister who I found had departed to the other world a fortnight before. On this account I never will stir again out of the world unless your paper goes along with me. I hold a newspaper to be a kind of viaticum with which every man should be provided and which become the more necessary the further we remove from town It. is the only way to keep pace with what is going on every day in the fashionable or literary world–and to prevent talking about dead friends or wives that have absconded. In short Sir a newspaper is my creed –and never will I again travel without my faith along with me : having fully experienced the unpleasantness of being sent back into the world as ignorant as if I had been born again– I hereby give notice – That if an hottentot friend of mine invites me who does not take in your paper or some other– I will not visit him. DICK DESPERATE. 
   ID58,1789,An American paper printed in March last contains an eulogism of the highest strain on a gentleman who had from pure motives of religion and humanity restored 75 blacks his property to that natural freedom which is the right of all mankind. 
   ID64,1790,No fewer than nine young ladies are going to the Market of Love in India on board the William Pitt ! What a disgrace to our young men at home ! 
   ID65,1790,By the last letters from India we understand they were going on in the plodding way with nothing new or important.–The markets are overstocked with British goods so as to enable our countrymen to supply themselves with most articles at a cheaper rate than if they were at home ; the credit of the revenue rather upon the increase ; Lord Cornwallis is as strict as ever who is expected to remain another year among them to the no small regret of those who left England for the sake of Oriental wealth. Our female adventurers have also found it a bad market ; British beauty never fails of finding its admirers ; but the late restriction in the East have rendered wives forbidden fruit of which neither civil nor military dare to think of tasting. 
   ID67,1790,Character of the Female Sex. By Mr. Ledyard a celebrated traveller. I have always remarked that women in all countries are civil obliging tender and humane; that they are ever inclined to be gay and cheerful timorous and modest : and that they do not hesitate like men to perform a generous action. Not haughty not arrogant not supercilious they are full of courtesy and fond of society ; more liable in general to err than man but in general also more virtuous and performing more good actions than he. To a woman whether civilized or savage I never addressed myself in the language of decency and friendship without receiving a decent and friendly answer. With men it has been otherwise. In wandering over the barren plains of inhos- pitable Denmark through honest Sweden and fro- zen Lapland rude and churlish Finland unprin- cipled Russia and the widespread regions of the wandering Tartar ; if hungry dry cold wet or sick the women have ever been friendly to me and uniformly so ; and to add to this virtue (so worthy the appellation of benevolence) these actions have been performed in so free and so kind a manner that if I was dry I drank the sweetest draught and if hungry I eat the coarse morsel with a double relish. 
   ID70,1790,A humorous Adventure of a Marriage negotiated by a Bill of Exchange in one of the English West India Islands. A Merchant originally from London having acquired a great fortune in this island concluded with himself he could not be happy in the enjoyment of it unless[?] he shared[?] it with a woman of merit ; and knowing none to his fancy he resolved to write to a worthy correspondent of his in London. He know no other [?] than that he used in his trade ; therefore treating affairs of love as he did his business after giving his friend in a letter several comissions and reserving this for the last he went on thus : Item[?] seeing that I have taken a resolution to marry and that I do not find a suitable match for me here do not fail to send me by next ship bound hither a young woman of the qualifications and form following: As for a portion I demand none ; let her be of an honest family ; between 20 and 25 years of age ; of a middle stature and well proportioned ; her face agreeable her temper mild her character blameless her heatlh good and her constitution strong enough to bear the change of the climate that there may be no occasion to look out for a second through lack of the [?] soon after she comes to hand ; which must be provided against as much as possible considering the great distance and dangers of the sea. If she arrives and conditioned as abovesaid with the present letter endorsed by you or at least an attested copy thereof that there may be no mistake or imposition I hereby oblige and engage myself satisfy the said letter by marrying the [?] at 15 days [?]. In witness [?] [?] I [?] [?] [?]. The London correspondent read over and over the odd article which put the future [?] on the same footing with the bales of good he was to send to his friend ; and after adressing[?] the prudent exactness of the naturalized Creole and his laconic stile in enumerating the qualifications he insisted on he endeavoured to serve him to his mind ; and after many enquiries he judged he had found a lady fit for his purpose in a young person of a reputable family but no fortune ; of good humour and of a polite education ; well shaped and more than tolerably handsome. He made the proposal to her as his friend has directed and the young gentlewoman who had no subsistence but from a cross old aunt who gave her a great deal of uneasiness accepted it. A ship bound for the West Indies was then fitting out at Bristol ; the gentlewoman went on board the same together with the bales of goods being well provided with all necessaries and particularly with a certificate in due form and indorsed by the correspondent. She was also included in the invoice the last article of which ran thus : Item a maid of 21 years of age of the quality shape and conditioned as per order ; as appears by the affadavits and certificates she has to produce. Writings which were thought necessary to so exact a man as the future husband were an extract from the parish register ; a certificate of her character signified by the curate ; an attestation of her neighbours setting forth that she had for the space of three years lived with an old aunt who was intolerably peevish and that she had not during all that time given her said aunt the least occasion of complaint. And li[?]y the goodness of her consitution was certified after [?] by [?] [?]. [?] [?] departure the London correspondent sent several letters of advice by other ships to his friend whereby he informed him that per such a [?] he sent him a young woman of such an age character and condition &c. in a word such [?] desired to marry. The letters of advice the bales and the gentlewoman came safe to the port ; and our Creole who happened to be one[?] of the foremost on the pier and the lady's landing was charmed to see a handsome person who having heard him called by his name told him Sir I have a bill of exchange upon you and you know that it is not usually for people to carry a great deal of money about them in such a long voyage as I have made ; I beg the favour you will pleased to pay it. At the same time she gave him his correspondent's letter on the back of which was wrote The bearer of this is the spouse you ordered me to send you. Ha [?][?] ! said the Creole I never yet suffered my bills to be protested and I swear this shall not be the first : I shall reckon myself the most fortunate of all men if you allow me to discharge it. Yes Sir replied she and the more willingly since I am apprized of your character. We have several persons of honour on board who knew you very well and who during my passage have answered all the questions I asked them concerning you in so advantageous a manner that it has raised in me [?] for you. This first interview was in a few days after followed by the nuptials which were very magnificent. The new married couple are satisfied with their happy union made by [?] of exchange which was the most fortunate that had happened in that island for many years. 
   ID72,1790,A Transfer of Conjugal Love. On Monday last was married at Stockport an inhabitant of Macclesfield to a female on whom he had fixed his affections. It is to be observed that he did not toil through the tedious forms of courtship but at once got a wife as others sometimes get good places by purchase –and as we are informed the lady was valued at eight guineas and thirty yards of Irish cloth at 2s. 6d. per yard–which property he deposited in exchange for earthly treasure. –Whether a wife may be cheap or dear at that price time will shew. Her former husband having seen military service was not to be discomposed at trifles and his philosophy probably being strengthened on the occasion he attended the happy pair to church and saw the marriage ceremony ; after which they spent the evening at the bridegroom's house where all was gaity. The first husband parted with an helpmate had borne his sorrows twelve years ; and the second husband received a partner of his joys after having buried a former one just a week. 
   ID73,1790,Court of Chancery. The King at the relation of the Bishop of Lon don versus Anderson and Gipps. On the 18th of June 1692 the Hon. Mr. Boyle left by will the sum of 5400l. to be laid out in lands in Yorkshire out of the rents of which the sum of 90l. was to be paid annually to the College of William and Mary in New England to be applied for the purpose of propagating the Christian religion amongst the Indians in the back settlements in North America ; and likewise a further sum of 45l. to be paid to the same College for the support of two missionaries to preach the gospel. The city of London were left trustees and the management under the trust was by the will committed to the care of the Bishop of London. The present Bishop instituted this suit in which the city and a great number of other persons were parties for the single and indeed novel purpose of knowing whether (as the teststor had originally devised the several sums for the use of British subjects and the Americans having ceased to be in that situations since their independence) the annuity ought not to revert to this kingdom or to some other of his Majesty's colonies to be applied to similar purposes. This being the first determination of that nature since the American Revolution the Lord Chancellor decided it with that superior dignity of sentiment that always attends his decrees. Two phrases are sufficient– all charitable devices are to be held sacred– we cannot rake up the ashes of the dead in search of latent intentions. The annuities and arrears must be paid and Messrs. Anderson and Gipps and likewise the city of London must be paid their costs. 
